title,year,id,video_page,subtitle_page
The Screaming Skull,1958,the-screaming-skull-1958,https://archive.org/details/TheScreamingSkull1958,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-70157/sort-7/asc-0
Second Chorus,1940,second-chorus-1940,https://archive.org/details/SecondChorus19401080p,https://www.opensubtitles.org/en/search/sublanguageid-all//idmovie-6773/sort-7/asc-0
The Secret Hour,1928,the-secret-hour-1928,,
The Silver Horde,1930,the-silver-horde-1930,https://archive.org/details/SilverHorde1930,https://www.opensubtitles.org/en/subtitles/8967701/the-silver-horde-en
Sin Takes a Holiday,1930,sin-takes-a-holiday-1930,https://archive.org/details/SinTakesAHoliday1930,https://www.opensubtitles.org/en/subtitles/8043401/sin-takes-a-holiday-en
Sing a Song of Six Pants,1947,sing-a-song-of-six-pants-1947,,
Sinners in Paradise,1938,sinners-in-paradise-1938,https://archive.org/details/SinnersinParadise,https://www.opensubtitles.org/en/subtitles/8256813/sinners-in-paradise-en
The Snows of Kilimanjaro,1952,the-snows-of-kilimanjaro-1952,https://archive.org/details/the.-snows.of.-kilimanjaro.-1952.-gregory.-peck.-1080p.x-264-classics,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-7054/sort-7/asc-0
The Southerner,1945,the-southerner-1945,https://archive.org/details/TheSoutherner,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-9454/sort-7/asc-0
A Star Is Born,1937,a-star-is-born-1937,https://archive.org/details/AStarIsBorn1937FullHDMovie,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-41587/sort-7/asc-0
The Star Packer,1934,the-star-packer-1934,https://archive.org/details/The_Star_Packer,https://www.opensubtitles.org/en/imdbid-0025830
The Strange Love of Martha Ivers,1946,the-strange-love-of-martha-ivers-1946,https://archive.org/details/7.4-the-strange-love-of-martha-ivers-1946,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-7055/sort-7/asc-0
The Stranger,1946,the-stranger-1946,https://archive.org/details/thestranger1946_202004,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-1460/sort-7/asc-0
Suddenly,1954,suddenly-1954,https://archive.org/details/Suddenly1954HD,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-35299/sort-7/asc-0
Superman (1940s cartoon series),1941,superman-1940s-cartoon-series-1941,,
"Swing High, Swing Low",1937,swing-high-swing-low-1937,https://archive.org/details/SwingHighSwingLow19371080p,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-38111/sort-7/asc-0
Teenagers from Outer Space,1959,teenagers-from-outer-space-1959,https://archive.org/details/teenagers-from-outer-space-1959,
The Terror,1963,the-terror-1963,https://archive.org/details/TheTerror,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-15224/sort-7/asc-0
The Terror of Tiny Town,1938,the-terror-of-tiny-town-1938,https://archive.org/details/TheTerrorOfTinyTown1938_802,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-42456/sort-7/asc-0
Three Guys Named Mike,1951,three-guys-named-mike-1951,https://archive.org/details/ThreeGuysNamedMike1951,https://www.opensubtitles.org/en/subtitles/8712901/three-guys-named-mike-en
Till the Clouds Roll By,1946,till-the-clouds-roll-by-1946,https://archive.org/details/till_the_clouds_roll_by,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-9668/sort-7/asc-0
Too Late for Tears,1949,too-late-for-tears-1949,https://archive.org/details/TooLateForTears,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-24614/sort-7/asc-0
Topper Returns,1941,topper-returns-1941,https://archive.org/details/topper-returns-1941-classic-comedy-fantasy-thriller,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-31233/sort-7/asc-0
Utopia (a.k.a. Atoll K),1951,utopia-aka-atoll-k-1951,https://archive.org/details/utopia,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-4223/sort-7/asc-0
Vengeance Valley,1951,vengeance-valley-1951,https://archive.org/details/vengeance.valley.1951.dvdrip.x264.eac3sartre,
The Wasp Woman,1959,the-wasp-woman-1959,https://archive.org/details/TheWaspWoman1959,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-45063/sort-7/asc-0
West of the Divide,1934,west-of-the-divide-1934,https://archive.org/details/west_of_the_divide,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-23779/sort-7/asc-0
White Zombie,1932,white-zombie-1932,https://archive.org/details/white-zombie_hd,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-6881/sort-7/asc-0
Wives Under Suspicion,1938,wives-under-suspicion-1938,,
The Third Man,1949,the-third-man-1949,https://archive.org/details/the-third-man-1949,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-4461/sort-7/asc-0
The Vampire Bat,1933,the-vampire-bat-1933,https://archive.org/details/TheVampireBat1933_68,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-37593/sort-7/asc-0
The Day the Earth Stood Still,1951,the-day-the-earth-stood-still-1951,https://archive.org/details/The.Day.The.Earth.Stood.Still1951,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-2385/sort-7/asc-0
